127.0.0.1 - - [20/Oct/2025:09:02:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:13 -0300] "GET /aformula/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:27 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:27 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:29 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:29 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "GET /aformula/ HTTP/1.1" 200 5751
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "GET /aformula/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=2EA129375F8A40331B39A6F80A9BD871?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 87555
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "GET /aformula/javax.faces.resource/core.js.xhtml;jsessionid=2EA129375F8A40331B39A6F80A9BD871?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 57335
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "GET /aformula/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=2EA129375F8A40331B39A6F80A9BD871?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 146776
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "GET /aformula/javax.faces.resource/estilos.css.xhtml;jsessionid=2EA129375F8A40331B39A6F80A9BD871?ln=css HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:31 -0300] "GET /aformula/javax.faces.resource/primeicons/primeicons.css.xhtml;jsessionid=2EA129375F8A40331B39A6F80A9BD871?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 11223
