127.0.0.1 - - [19/Dec/2025:10:00:43 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:44 -0300] "GET /aformula/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:52 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:52 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:54 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:54 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "GET /aformula/ HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "GET /aformula/javax.faces.resource/estilos.css.xhtml;jsessionid=4E417EAEE790C2798C6A964100763B68?ln=css HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "GET /aformula/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=4E417EAEE790C2798C6A964100763B68?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 146776
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "GET /aformula/javax.faces.resource/theme.css.xhtml;jsessionid=4E417EAEE790C2798C6A964100763B68?ln=primefaces-saga&v=13.0.0-RC2 HTTP/1.1" 200 201489
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "GET /aformula/javax.faces.resource/core.js.xhtml;jsessionid=4E417EAEE790C2798C6A964100763B68?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 57335
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "GET /aformula/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=4E417EAEE790C2798C6A964100763B68?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 87555
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "GET /aformula/javax.faces.resource/aformula.png.xhtml;jsessionid=4E417EAEE790C2798C6A964100763B68?ln=images HTTP/1.1" 200 103462
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "GET /aformula/javax.faces.resource/primeicons/primeicons.css.xhtml;jsessionid=4E417EAEE790C2798C6A964100763B68?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 11223
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:56 -0300] "GET /aformula/javax.faces.resource/components.css.xhtml;jsessionid=4E417EAEE790C2798C6A964100763B68?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 109057
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:57 -0300] "GET /aformula/javax.faces.resource/components.js.xhtml;jsessionid=4E417EAEE790C2798C6A964100763B68?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 495734
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:57 -0300] "GET /aformula/javax.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 30217
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:00:57 -0300] "GET /aformula/javax.faces.resource/images/favicon.ico.xhtml HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:16 -0300] "POST /aformula/pages/autenticacao.xhtml;jsessionid=4E417EAEE790C2798C6A964100763B68 HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:17 -0300] "GET /aformula/javax.faces.resource/estilos.css.xhtml?ln=css HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:17 -0300] "GET /aformula/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 11223
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:17 -0300] "GET /aformula/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 87555
