127.0.0.1 - - [25/Nov/2025:16:18:54 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:18:55 -0300] "GET /brewer/ HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:18:55 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/usuarios/novo HTTP/1.1" 200 8458
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/layout/stylesheets/vendors.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/layout/stylesheets/algaworks.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/layout/stylesheets/application.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/layout/javascripts/algaworks.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/layout/javascripts/vendors.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 304 -
