127.0.0.1 - - [14/Mar/2026:10:00:53 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:00:54 -0300] "GET /brewer/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:00:55 -0300] "GET /brewer/login?expired HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:00:55 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:36 -0300] "POST /brewer/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:45 -0300] "GET /brewer/ HTTP/1.1" 200 9089
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:45 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:45 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:45 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:45 -0300] "GET /brewer/javascripts/vendors/jquery.masknumber.min.js HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:45 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:45 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5732
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:46 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:46 -0300] "GET /brewer/javascripts/brewer.dialogo-excluir.js HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:46 -0300] "GET /brewer/javascripts/vendors/numeral.min.js HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:46 -0300] "GET /brewer/javascripts/dashboard-graficos.js HTTP/1.1" 200 2697
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:46 -0300] "GET /brewer/javascripts/vendors/pt-br.min.js HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:46 -0300] "GET /brewer/javascripts/vendors/Chart.min.js HTTP/1.1" 200 158741
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:50 -0300] "GET /brewer/vendas/porOrigem HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [14/Mar/2026:10:01:50 -0300] "GET /brewer/vendas/totalPorMes HTTP/1.1" 200 180
